ResearchInstitution,GrantCount,TotalFunding,index,Institute,InstituteCountry,InstituteNumber,City,Latitude,Longitude
Berne University of Applied Sciences - BFH,258,66123712.0,411,Eidgenössische Hochschule für Sport Magglingen (EHSM),Switzerland,I412,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,1102,Fachstelle Forschung Hochschule der Künste Bern Berner Fachhochschule,Switzerland,I1103,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,1577,Berner Fachhochschule BFH Bern,Switzerland,I1578,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,1835,Hochschule der Künste Bern Berner Fachhochschule,Switzerland,I1836,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2027,Fachbereich Gesundheit Berner Fachhochschule,Switzerland,I2028,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2028,Departement Soziale Arbeit Berner Fachhochschule,Switzerland,I2029,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2074,Institut Interpretation Hochschule der Künste Bern Berner Fachhochschule,Switzerland,I2075,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2093,"Hochschule für Agrar-, Forst- und Lebensmittelwissenschaften HAFL Berner Fachhochschule BFH",Switzerland,I2094,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2337,Institut für Transdisziplinarität Hochschule der Künste Bern Berner Fachhochschule,Switzerland,I2338,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2682,Wirtschaft Gesundheit und Soziales Berner Fachhochschule Gesundheit,Switzerland,I2683,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,2936,Visuelle Kommunikation Hochschule der Künste Berner Fachhochschule,Switzerland,I2937,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3057,Institut Innovation & Strategic Entrepreneurship Berner Fachhochschule,Switzerland,I3058,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3199,Fachbereich Sportpsychologie Leistungssport Eidg. Hochschule für Sport Magglingen,Switzerland,I3200,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3526,Forschungsschwerpunkt Kommunikationsdesign Y (Institut für Transdisziplinarität) Hochschule der Künste Bern HKB,Switzerland,I3527,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3798,"Berner Fachhochschule Dep. Architektur, Holz und Bau",Switzerland,I3799,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3806,Institut littéraire suisse Haute Ecole des Arts de Berne Haute école spécialisée bernoise,Switzerland,I3807,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3868,Berner Fachhochschule Institut für Medizininformatik,Switzerland,I3869,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3896,Departement Wirtschaft Berner Fachhochschule BFH,Switzerland,I3897,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,3989,Institut Y Hochschule der Künste Bern Berner Fachhochschule,Switzerland,I3990,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,4210,Ingenieurschule Burgdorf,Switzerland,I4211,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,4303,Institute of Design Research Hochschule der Künste Fachhochschule Bern,Switzerland,I4304,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,4365,Dept. Engineering and Information Technology Bern University of Applied Sciences,Switzerland,I4366,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,4436,Institute for Digital Technology Management Departement Wirtschaft Berner Fachhochschule,Switzerland,I4437,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,4875,Konservierung und Restaurierung Hochschule der Künste Bern Berner Fachhochschule,Switzerland,I4876,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,4887,Berner Fachhochschule Technik und Informatik,Switzerland,I4888,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,5096,Institut für Transdisziplinarität Hochschule der Künste HKB Berner Fachhochschule BFH,Switzerland,I5097,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,5224,Inst. für Sozialplan. und Soz.managem. (ISS) Hochschule für Soziale Arbeit HSA Berner Fachhochschule,Switzerland,I5225,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,5616,Microelectronics Laboratory Institute for Human Centered Engineering HuC Berner Fachhochschule (BFH),Switzerland,I5617,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,5637,"Berner Fachhochschule Architektur, Holz und Bau",Switzerland,I5638,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,6021,Hochschule der Künste HKB Berner Fachhochschule,Switzerland,I6022,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,6350,Institut für spanische Sprache und Literatur Universität Bern,Switzerland,I6351,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,6945,Fachgruppe Moderne Materialien und Medien Fachbereich Konservierung und Restaurierung Hochschule der Künste Bern,Switzerland,I6946,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,7016,"Hochschule für Gestaltung, Kunst und Konservierung HGKK Berner Fachhochschule",Switzerland,I7017,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,7021,"Architektur, Holz und Bau Berner Fachhochschule",Switzerland,I7022,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,7348,Research Area Materiality in Art and Culture Bern University of the Arts University of Applied Sciences,Switzerland,I7349,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,7547,Berner Fachhochschule Wirtschaft Institut Innovation and Entrepreneurship,Switzerland,I7548,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,7627,"History, Social and Historical Sciences  University of the Arts Bern",Switzerland,I7628,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,7828,Institut für Innovation & Entrepreneurship Departement Wirtschaft Berner Fachhochschule,Switzerland,I7829,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,8208,FSP Kommunikationsdesign Hochschule der Künste Bern Berner Fachhochschule,Switzerland,I8209,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,8485,Hochschule für Musik und Theater Hochschule der Künste Bern,Switzerland,I8486,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,8765,New Work Institute Wirtschaft Berner Fachhochschule,Switzerland,I8766,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,9506,Fachhochschule für Sozialarbeit,Switzerland,I9507,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,10549,Berner Fachhochschule Hochschule für Technik und Informatik (HTI),Switzerland,I10550,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,10558,Institut Alter Berner Fachhochschule,Switzerland,I10559,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,10735,Forschungsschwerpunkt Intermedialität Hochschule der Künste,Switzerland,I10736,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,10796,Verlag Peter Lang AG Europäischer Verlag der Wissensch.,Switzerland,I10797,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,11398,Hochschule der Künste Bern,Switzerland,I11399,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,11709,Schweizerisches Literaturinstitut  Hochschule der Künste Bern HKB,Switzerland,I11710,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,12121,Berner Fachhochschule,Switzerland,I12122,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,12166,"Hochschule für Gestaltung, Kunst und Konservierung",Switzerland,I12167,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,12492,FSP Materialität in Kunst und Kultur HKB Forschung Hochschule der Künste Bern,Switzerland,I12493,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,12877,Abteilung Ernährung und Diätetik Departement Gesundheit Berner Fachhochschule,Switzerland,I12878,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,13006,Graduate School of the Arts Universität Bern,Switzerland,I13007,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,13462,Sportwissenschaftliches Institut Bundesamt für Sport,Switzerland,I13463,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,13616,"Bern University of Applied Sciences Architecture, Wood an Civil Engineering R+D, Materials and Wood Technology",Switzerland,I13617,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,14321,"Bewegungslabor Fachbereich Gesundheit, Physiotherapie Berner Fachhochschule",Switzerland,I14322,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,15000,Fachbereich Theater Hochschule der Künste Bern,Switzerland,I15001,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,15479,"Hochschule für Gestaltung, Kunst und Konservierung, Bern",Switzerland,I15480,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,15488,Kompetenzzentrum Unternehmensführung Berner Fachhochschule,Switzerland,I15489,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,15860,Berner Fachhochschule BFH Gesundheit - aR&D N&D Murtenstrasse 10 - 3008 Bern,Switzerland,I15861,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,16275,Berner Fachhochschule BFH,Switzerland,I16276,Bern,46.9481,7.4474
Berne University of Applied Sciences - BFH,258,66123712.0,17410,Institut für Rehabilitation und Leistungstechnologie Berner Fachhochschule,Switzerland,I17411,Bern,46.9481,7.4474
EPF Lausanne - EPFL,5223,1851639217.0,1,Institut des sciences et ingénierie chimiques EPFL - SB - ISIC,Switzerland,I2,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,29,Chaire swissUp en ingénierie EPFL - STI - IBI-STI - CLSE,Switzerland,I30,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,46,Laboratoire d'intermodalité des transports et de planification EPFL-ENAC-INTER-LITEP,Switzerland,I47,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,77,Laboratoire de génie de la réaction chimique EPFL - SB - ISIC - LGRC,Switzerland,I78,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,126,"Institut des infrastructures, des ressources et de l'environnement EPFL - ENAC - ICARE",Switzerland,I127,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,136,Laboratoire de la construction métallique EPFL - ENAC - IIC - RESSLab,Switzerland,I137,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,158,Institut de structures EPFL - IS - ENAC,Switzerland,I159,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,173,Laboratoire de physique des accélérateurs de particules EPFL - SB - IPEP - LPAP,Switzerland,I174,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,194,Laboratoire d'automatique EPFL - STI - IGM - LA1,Switzerland,I195,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,198,UNI: EPFL  1015 Lausanne CH,Switzerland,I199,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,242,EPFL / STI-ISE Institut des Sciences de l'Energie,Switzerland,I243,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,250,Chaire de physique numérique de la matière condensée EPFL - SB - ITP - CPNMC,Switzerland,I251,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,252,Laboratoire expérimental de mécanique des roches EPFL - ENAC - IIC - LEMR,Switzerland,I253,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,272,EPFL - SB - MATHAA,Switzerland,I273,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,275,CSCS - Centro Svizzero di Calcolo Scientifico ETH Zürich,Switzerland,I276,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,279,EPFL SV ISREC UPLIN,Switzerland,I280,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,311,Material Science and Engineering École Polytechnique Fédérale de Lausanne,Switzerland,I312,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,349,Institut de Physique des Nanostructures EPFL - FSB - IPN,Switzerland,I350,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,355,EPFL STI IMT LMTS MC B4 147 (Microcity),Switzerland,I356,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,359,Laboratoire de design et media EPFL IC ISIM LDM,Switzerland,I360,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,377,EPFL STI-DO ELB 114 (Bâtiment ELB),Switzerland,I378,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,384,Institut de mathématiques de géométrie et applications EPFL - SB - MATHGEOM,Switzerland,I385,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,394,Global Health Institute EPFL SV-DO,Switzerland,I395,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,398,Laboratoire de réalité virtuelle EPFL - IC - ISIM - VRLAB,Switzerland,I399,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,404,Laboratoire d'énergie solaire et physique du bâtiment EPFL - ENAC - IIC - LESO-PB,Switzerland,I405,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,422,Laboratoire de Génétique Comportementale EPFL - SV - BMI,Switzerland,I423,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,445,Laboratoire de mécanique appliquée et d'analyse de fiabilité EPFL - STI - IGM - LMAF,Switzerland,I446,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,454,Lab. d'intelligence artificielle perceptive EPFL - STI - ITS - LIAP,Switzerland,I455,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,474,Lab. de mesure et d'analyse des mouvements EPFL - STI - LMAM,Switzerland,I475,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,506,Laboratoire Leenaards-Jeantet d'imagerie fonctionnelle et métabolique EPFL - SB - IPSB - LIFMET,Switzerland,I507,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,510,Aztekin Lab SV ISREC EPFL,Switzerland,I511,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,527,Dépt Microbiologie et Médecine Moléculaire Faculté de Médecine Université de Genève,Switzerland,I528,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,531,EPFL STI SGM-GE,Switzerland,I532,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,541,Laboratoire d'hydraulique environnementale EPFL - ENAC - IIC - LHE,Switzerland,I542,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,561,UNI: EPFL Institut de Génie Atomique  Lausan ne CH,Switzerland,I562,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,565,Laboratoire de photonique et interfaces EPFL - SB - ISIC - LPI,Switzerland,I566,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,595,Laboratoire de physique des dispositifs semiconducteurs LPDS - IPEQ - SB - EPFL,Switzerland,I596,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,626,Swiss Finance Institute EPFL - CDM - SFI,Switzerland,I627,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,658,VPAA / I&C EPFL,Switzerland,I659,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,673,Laboratoire de physique des hautes énergies 2 EPFL - SB - IPEP - LPHE2,Switzerland,I674,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,675,Laboratoire de sécurité et de cryptographie EPFL - IC - IINFCOM - LASEC,Switzerland,I676,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,691,Institut de génie électrique et électronique EPFL - STI - IEL,Switzerland,I692,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,709,Centre Interfacultaire BERNOULLI (CIB) EPFL SB CIB / Bâtiment BI Station 7,Switzerland,I710,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,724,Laboratoire de chimie physique moléculaire EPFL - SB - ISIC - LCPM,Switzerland,I725,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,773,Institut des sciences et technologies de l'environnement EPFL - ENAC - ISTE,Switzerland,I774,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,780,Laboratoire de théorie de l'information EPFL - IC - IINFCOM - LTHI,Switzerland,I781,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,818,Laboratoire d'ingénierie des protéines EPFL - SB - ISIC - LIP,Switzerland,I819,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,852,Laboratoire d'imagerie biomédicale EPFL - STI - IMT  - LIB,Switzerland,I853,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,859,Institut de Théorie des Phénomènes Physiques EPFL SB ITP LPPC,Switzerland,I860,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,906,"Institut d'Ingenierie des Systems EPFL, STI-12S-LASA",Switzerland,I907,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,914,"Institut de transmissions, ondes et photonique, ITOP STI-EPFL",Switzerland,I915,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,924,Institut de production et robotique EPFL - STI - IPR,Switzerland,I925,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,933,Laboratoire de métallurgie mécanique EPFL - STI - IMX - LMM,Switzerland,I934,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,938,UNI: EPF-Lausanne IMHEF  Lausanne CH,Switzerland,I939,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,942,Laboratoire de systèmes intelligents EPFL - STI - IMT - LIS,Switzerland,I943,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,957,Laboratoire de mise en oeuvre de composites à haute performance EPFL - STI - IMX - LPAC,Switzerland,I958,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,966,Laboratoire des systèmes énergétiques EPFL-ENAC-ICARE-LASEN,Switzerland,I967,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,971,Laboratoire de traitement des signaux EPFL - STI - IEL - LTS,Switzerland,I972,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,984,Institut de microtechnique EPFL - STI - IMT,Switzerland,I985,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1028,Laboratoire de spectroscopie ultrarapide EPFL - SB - ISIC - LSU,Switzerland,I1029,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1037,Laboratoire des nanomatériaux supramoléculaires et interfaces EPFL - STI - IMX - SUNMIL,Switzerland,I1038,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1038,Laboratoire d'intelligence artificielle EPFL - IC - IIF - LIA,Switzerland,I1039,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1040,Laboratoire de biophysique expérimentale EPFL - SB - IPSB - LEB,Switzerland,I1041,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1050,Institut des Sciences et Ingénierie Chimiques EPFL-SB-ISIC-LSPN,Switzerland,I1051,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1051,Chaire de simulation à l'échelle atomique EPFL - SB - ITP - CSEA,Switzerland,I1052,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1066,Chaire de théorie ergodique et géométrique des groupes EPFL - SB - IMB - EGG,Switzerland,I1067,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1085,Laboratoire d'humanités digitales EPFL CDH CDH-CH DHLAB,Switzerland,I1086,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1093,"Lab. d'électromagnétisme et acoustique Inst. de Transmissions, Ondes et Photonique EPFL - ITOP-LEMA",Switzerland,I1094,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1118,Laboratoire des microsystèmes pour les technologies spatiales EPFL - STI - IMT - LMTS,Switzerland,I1119,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1147,Institut de Physique Théorique Département de Physique EPF - Ecublens,Switzerland,I1148,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1190,Laboratoire de simulation en mécanique des solides EPFL - ENAC - IS - LSMS,Switzerland,I1191,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1192,Laboratoire de chimie environnementale EPFL - ENAC - IIE - LCE,Switzerland,I1193,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1196,Centre interdisciplinaire de microscopie électronique EPFL - SB - CIME,Switzerland,I1197,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1214,EPFL EC-L Expert-Center pour la conservation du patrimoine bâti,Switzerland,I1215,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1217,Laboratoire de mécanique des sols EPFL - ENAC - IIC - LMS,Switzerland,I1218,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1228,Laboratoire de microsystèmes 1 EPFL - STI - IMT - LMIS1,Switzerland,I1229,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1232,Laboratoire des matériaux organiques et macromoléculaires EPFL - STI - IMX - LMOM,Switzerland,I1233,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1245,Laboratoire Chôros INTER-ENAC EPFL,Switzerland,I1246,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1248,Chaire de pédagogie et didactique EPF de Lausanne,Switzerland,I1249,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1250,Laboratoire de magnétisme quantique  EPFL - SB - IPHYS - LQM,Switzerland,I1251,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1269,Laboratoire pour les communications informatiques et leurs applications 4 EPFL - IC - ISC - LCA4,Switzerland,I1270,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1271,Laboratoire de physique du bâtiment LESO Départment d'architecture,Switzerland,I1272,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1275,Laboratoire de traitement des signaux 1 EPFL - STI - IEL - LTS1,Switzerland,I1276,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1276,Laboratoire de physique des nanostructures EPFL - SB - IPHYS - LPN,Switzerland,I1277,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1280,EPFL,Switzerland,I1281,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1286,Institut de physique de la matière condensée EPFL - SB - ICMP,Switzerland,I1287,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1291,Laboratoire de systèmes et algorithmes intelligents distribués EPFL - ENAC - IIE - DISAL,Switzerland,I1292,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1301,Institut suisse de recherche expérimentale sur le cancer EPFL SV ISREC,Switzerland,I1302,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1316,Laboratoire de construction en béton EPFL - ENAC - IIC - IBETON,Switzerland,I1317,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1317,Laboratoire de méthodes de programmation 1 EPFL - IC - IIF - LAMP1,Switzerland,I1318,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1321,Laboratoire d'ingénierie éolienne et d'énergie renouvelable EPFL - ENAC - IIE - WIRE,Switzerland,I1322,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1369,Laboratoire d'écohydrologie EPFL - ENAC - IIE - ECHO,Switzerland,I1370,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1377,UNI: EPF-Lausanne Institut de Machines Hydra uliques et de Mécanique des Fluides Lausanne CH,Switzerland,I1378,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1379,Laboratoire de traitement sensoriel EPFL - SV - BMI - LSENS,Switzerland,I1380,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1380,Laboratoire de vision par ordinateur EPFL - IC - ISIM - CVLAB,Switzerland,I1381,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1395,Laboratoire d'électronique et structures à l'échelle nanométrique EPFL - STI - IEL - LANES,Switzerland,I1396,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1396,Laboratoire de théorie des communications EPFL - IC - ISC - LTHC,Switzerland,I1397,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1407,Laboratoire de Neurosciences Cognitives Brain Mind Institute Faculté des sciences de la vie,Switzerland,I1408,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1424,Laboratoire de télédétection environnementale EPFL - ENAC - IIE - LTE,Switzerland,I1425,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1469,Laboratoire de chimie organométallique et médicinale EPFL - SB - ISIC - LCOM,Switzerland,I1470,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1486,Institut interfacultaire de Bioingénierie EPFL - SV - IBI,Switzerland,I1487,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1493,FSV-IBI-UPSUTER Ecole Polytechnique fédérale de Lausanne,Switzerland,I1494,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1522,Laboratoire de biophysique cellulaire EPFL - SB - IPSB - LCB,Switzerland,I1523,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1547,Laboratoire de mécanique des fluides EPFL - STI - IGM - LMF,Switzerland,I1548,Lausanne,46.5197,6.6323
EPF Lausanne - EPFL,5223,1851639217.0,1565,Laboratoire de géologie de l'ingénieur et de l'environnement EPFL - ENAC - IIC - GEOLEP,Switzerland,I1566,Lausanne,46.5197,6.6323
